"install date","address","area","district","beat","ward",
"1/5/2010","7801 S Vernon Ave",2,6,624,6,
"1/6/2009","7600 S Halsted St",2,6,621,17,
"1/6/2009","7100 S Normal Blvd",1,7,732,6,
"1/14/2010","3632 W Belmont",5,17,1732,35,
"1/15/2010","6944 N Greenview Ave",3,24,2431,49,
"1/21/2010","1 W 95th St",2,5,511,21,
"1/28/2010","2000 S Michigan Ave",,1,134,3,
"2/6/2009","8751 S Genoa Ave",2,22,2223,21,
"2/23/2009","4100 W Wabansia Ave",5,25,2534,30,
"3/9/2010","800 N Keystone Ave",4,11,1111,37,
"3/9/2010","857 N Karlov Ave",4,11,1111,37,
"3/11/2010","700 N Kilpatrick Ave",4,11,1111,28,
"3/11/2010","732 N Kilpatrick Ave",4,11,1111,28,
"3/12/2010","757 N Cicero Ave",4,11,1111,28,
"3/12/2010","929 N Keeler Ave",4,11,1111,37,
"3/15/2010","901 N Keeler Ave",4,11,1111,37,
"3/16/2010","1059 N Keeler Ave",4,11,1111,37,
"3/16/2010","4258 W Augusta Blvd",4,11,1111,37,
"3/17/2010","1158 N Karlov Ave",4,11,1111,37,
"3/17/2010","1159 N Kedvale Ave",4,11,1111,37,
"3/17/2010","1159 N Keystone Ave",4,11,1111,27,
"3/19/2010","1159 N Kildare Ave",4,11,1111,37,
"3/19/2010","4109 W Division St",4,11,1111,37,
"3/28/2009","9057 S Houston Ave",2,4,424,10,
"3/28/2009","2533 E 87th St",2,2,4,423,
"3/28/2009","8601 S Colfax Ave",2,4,423,7,
"3/28/2009","8801 S Muskegon Ave",2,4,423,10,
"3/28/2009","8501 S Muskegon Ave",2,4,423,10,
"3/30/2009","11531 S Church St",2,22,2212,34,
"3/30/2009","1253 W 109th St",2,22,2234,34,
"3/30/2009","11651 S Church St",2,22,2212,34,
"4/15/2010","7930 S Marshfield Ave",2,6,611,21,
"4/21/2009","3633 W Lawrence Ave",5,17,1723,33,
"4/21/2009","3763 W Lawrence Ave",5,17,1723,39,
"4/21/2009","2559 W Lawrence Ave",5,17,1723,33,
"4/22/2009","2800 W Rosemont Ave",3,24,2413,50,
"4/22/2009","2732 W Devon Ave",3,24,2412,50,
"5/6/2009","7800 S Dr Martin Luther King Jr Dr",2,6,623,6,
"5/6/2009","7900 S Vernon Ave",2,6,624,6,
"5/6/2009","401 E 79th St",2,6,624,6,
"5/6/2009","7801 S Eberhart Ave",2,6,624,6,
"5/6/2009","458 E 79th St",2,6,624,6,
"5/13/2009","11001 S Throop St",2,22,2234,34,
"5/19/2009","409 W Evergreen Ave",,18,1821,27,
"5/20/2009","5232 W Madison St",5,15,1522,28,
"5/20/2009","5359 W Washington Blvd",5,15,1522,28,
"5/27/2009","5259 W Washington Blvd",5,15,1522,28,
"5/27/2009","5331 W Madison St",5,15,1522,29,
"5/27/2009","5159 W Washington Blvd",5,15,1533,28,
"5/28/2009","5440 W Madison St",5,15,1522,28,
"5/28/2009","5200 W Madison St",5,15,1522,28,
"6/16/2008","3900 S Indiana Ave",1,2,214,3,
"6/16/2009","1459 N California Ave",5,14,1423,26,
"6/16/2009","1601 N California Ave",5,14,1421,1,
"6/17/2009","1301 N Luis Munoz Marin Dr East",5,14,1423,26,
"7/14/2008","7500 S Constance Ave",2,4,414,8,
"7/14/2008","7625 S Constance Ave",2,4,414,8,
"7/14/2008","6700 S Euclid Ave",2,4,414,8,
"7/14/2008","7601 S Constance Ave",2,4,414,8,
"7/14/2009","6901 S Ashland Ave",1,7,734,17,
"7/15/2008","7558 S Jeffery Blvd",2,4,414,8,
"7/15/2008","7500 S Jeffery Blvd",2,4,414,8,
"7/16/2008","1200 S Lawndale Ave",4,10,1011,24,
"7/16/2008","7900 S Ridgeland Ave",2,4,414,8,
"7/16/2009","2833 W Division St",4,13,1311,26,
"7/17/2008","700 N Lavergne Ave",5,15,1531,28,
"7/18/2008","5235 W North Ave",5,25,2532,37,
"7/18/2009","3900 S Lake Park Ave",1,21,2122,4,
"7/24/2009","8301 S Kerfoot Ave",2,6,622,21,
"7/24/2009","8302 S Birkhoff Ave",2,6,622,21,
"7/24/2009","8128 S Emerald Ave",2,6,622,21,
"7/25/2008","11100 S Wallace St",2,22,2233,34,
"7/25/2008","10300 S Cottage Grove Ave",2,5,512,9,
"7/25/2008","3800 W Armitage Ave",5,25,2525,26,
"7/27/2009","432 W 83rd St",2,6,622,21,
"7/28/2009","8300 S Halsted St",2,6,613,21,
"8/1/2008","5200 S Ellsworth Dr",1,2,234,4,
"8/3/2009","7860 S Halsted St",2,6,621,17,
"8/5/2009","10300 S Doty Ave East",2,4,434,10,
"8/6/2008","4659 S Dr Martin Luther King Jr Dr",1,2,222,3,
"8/16/2008","424 E Pershing Rd",1,2,212,4,
"8/16/2008","3800 S Prairie Ave",1,2,211,3,
"8/23/2008","3602 N Western Ave",3,19,1912,47,
"8/25/2008","5202 N Kimball Ave",5,17,1712,39,
"8/26/2008","1600 W Irving Park Rd",3,19,1923,47,
"9/3/2008","1158 N Leclaire Ave",5,15,1531,37,
"9/6/2008","4200 W Augusta Blvd",4,11,1111,37,
"9/6/2008","4880 W Wabansia Ave",5,25,2533,37,
"9/8/2009","4759 N Sheridan Rd",3,23,2312,46,
"9/8/2009","4902 W Deming Pl",5,25,2521,31,
"9/9/2008","600 E 67th St",2,3,321,20,
"9/15/2008","2200 S Kirkland Ave",4,10,1013,22,
"9/15/2009","1401 W 63rd St",1,7,725,16,
"9/16/2008","3000 W Walnut St",4,13,1331,27,
"9/16/2009","7610 N Bosworth Ave",3,24,2422,49,
"9/17/2008","5724 N Northwest Hwy",5,16,1622,45,
"9/18/2008","4001 S Artesian Ave",1,9,914,12,
"9/22/2008","50 E 95th St",2,6,634,6,
"9/22/2009","4952 W Deming Pl",5,25,2521,31,
"9/24/2008","6400 S Rockwell St",1,8,825,15,
"9/24/2008","6901 S Western Ave",1,8,832,17,
"9/26/2008","11900 S Perry Ave",2,5,522,9,
"9/27/2008","7858 S Drexel Ave",2,6,624,6,
"9/27/2008","11100 S Halsted St",2,22,2233,34,
"9/30/2008","2550 N Kostner Ave",5,25,2524,31,
"1/12/2008","758 N Parkside Ave",5,15,1511,29,
"1/15/2010","1431 S Laflin St",4,12,1231,2,
"1/15/2010","5100 S Racine Ave",1,9,933,16,
"1/17/2007","4401 W West End Ave",4,11,1113,28,
"1/18/2006","2710 S Dearborn St",1,21,2113,3,
"1/19/2007","1333 S Throop St",4,12,1231,2,
"1/20/2007","600 N Hamlin Ave",4,11,1132,28,
"1/20/2010","3071 E 79th St",2,4,422,7,
"1/22/2007","2656 W Potomac Ave",5,14,1423,26,
"1/26/2007","1100 W Winona St",3,20,2033,48,
"1/27/2007","2431 E 75th St",2,4,421,7,
"1/28/2005","800 N Homan Ave",4,11,1121,27,
"1/3/2007","7658 S Exchange Ave",2,4,421,7,
"1/3/2008","8801 S Princeton Ave",2,6,634,21,
"1/4/2008","12301 S Halsted St",2,5,523,34,
"10/1/2008","3400 N Laramie Ave",5,16,1634,38,
"10/1/2008","3602 N Kilbourn Ave",5,17,1731,38,
"10/8/2008","4658 N Central Park Ave",5,17,1723,33,
"10/9/2008","2532 W 51st St",1,9,911,14,
"10/9/2008","5700 S Peoria St",1,7,712,16,
"10/9/2008","5300 W Wabansia Ave",5,25,2532,37,
"10/11/2006","6100 S Cottage Grove Ave",2,3,313,20,
"10/11/2006","7100 S Paxton Ave",2,3,333,5,
"10/13/2006","101 W 115th St",2,5,522,34,
"10/17/2006","11958 S Michigan Ave",2,5,532,9,
"10/17/2008","11458 S Yale Ave",2,5,522,34,
"10/18/2005","400 W Evergreen ave",,18,1821,27,
"10/18/2005","4300 S Rockwell St",1,9,912,12,
"10/18/2006","1000 N Hamlin Ave",4,11,1113,27,
"10/20/2009","831 E 63rd St",2,3,312,20,
"10/23/2009","639 E 131st St",2,5,533,9,
"10/24/2008","2300 W Warren Blvd",4,13,1332,2,
"10/24/2008","700 N Christiana Ave",4,11,1121,27,
"10/25/2006","1825 W 51st St",1,9,932,16,
"10/26/2006","401 S Central Ave",5,15,1522,29,
"10/27/2009","6401 S Ingleside Ave",2,3,314,20,
"10/30/2007","35 W 23rd St",,1,134,2,
"10/31/2006","500 N Avers Ave",4,11,1122,27,
"10/5/2007","2159 W Maypole Ave",4,13,1332,2,
"10/8/2008","4400 S Lamon Ave",1,8,814,23,
"11/1/2008","201 E Garfield Blvd",1,2,233,3,
"11/2/2009","8109 S Green St",2,6,613,21,
"11/4/2008","2758 N Hoyne Ave",3,19,1913,1,
"11/4/2008","1024 W 18th Pl",4,12,1233,25,
"11/5/2008","9300 S Marquette Ave",2,4,423,7,
"11/5/2008","10400 S State St",2,5,512,34,
"11/6/2008","364 W Oak St",,18,1823,27,
"11/6/2009","2127 S Marshall Blvd",4,10,1023,12,
"11/6/2009","843 W 27th St",1,9,923,11,
"11/8/2008","4700 S Western Ave",1,9,911,12,
"11/8/2008","2143 S Homan Ave",4,10,1024,24,
"11/9/2008","4041 E 112th St",2,4,433,10,
"11/1/2008","4000 S Prairie Ave",1,2,214,3,
"11/10/2006","3731 W Roosevelt Rd",4,10,1011,24,
"11/12/2007","11700 S La Salle St",2,5,522,34,
"11/12/2007","11900 S State St",2,5,522,9,
"11/13/2009","10302 S Doty Ave East",2,4,434,10,
"11/13/2009","10301 S Doty Ave East",2,4,434,10,
"11/14/2006","1600 W Howard St",3,24,2422,49,
"11/14/2006","958 W 59th St",1,7,712,16,
"11/14/2006","6100 S Martin Luther King Jr Dr",2,3,311,20,
"11/14/2007","6315 S Ashland Ave",1,7,725,16,
"11/15/2006","1428 W 79th St",2,6,612,17,
"11/15/2006","7900 S Essex Ave",2,4,422,7,
"11/16/2006","8901 S Burley Ave",2,4,424,10,
"11/16/2007","3258 W 23rd St",4,10,1024,22,
"11/17/2007","3332 W 23rd St",4,10,1024,22,
"11/17/2007","3413 W Cermak Rd",4,10,1024,22,
"11/17/2007","2401 S Christiana Ave",4,10,1024,22,
"11/17/2007","3359 W 23rd St",4,10,1024,22,
