"name","description",latitude,longitude
"1","1330 S HOMAN AVE",41.863796,-87.710637
"10","38 W I190 EXPY",41.983765,-87.846264
"100","5559 S EMERALD AVE",41.792868,-87.643725
"1001","5534 S ST LOUIS AVE",41.792785,-87.711061
"1003","432 W 83RD ST",41.743609,-87.634348
"1004","8301 S KERFOOT AVE",41.743084,-87.641621
"1005","10302 S DOTY AVE E",41.70114,-87.594149
"1006","10301 S DOTY AVE E",41.706685,-87.584163
"1007","1459 N CALIFORNIA AVE",41.907606,-87.69685
"1008","2127 S MARSHALL BLVD",41.853154,-87.698936
"1009","1601 N CALIFORNIA AVE",41.910266,-87.696941
"101","1101 W ARGYLE ST",41.973183,-87.657708
"1010","831 E 63RD ST",41.780277,-87.605158
"1011","8302 S BIRKHOFF AVE",41.743054,-87.640588
"1013","7860 S HALSTED ST",41.751415,-87.644231
"1016","6401 S INGLESIDE AVE",41.778628,-87.601443
"1017","5440 W MADISON ST",41.880417,-87.761678
"1018","5232 W MADISON ST",41.880492,-87.756434
"1019","5259 W WASHINGTON BLVD",41.882217,-87.756831
"102","1084 W THORNDALE AVE",41.990146,-87.657723
"1020","7800 S DR MARTIN LUTHER KING JR DR",41.752766,-87.615159
"1021","8300 S HALSTED ST",41.743306,-87.643894
"1022","5331 W MADISON ST",41.880193,-87.759006
"1023","7900 S VERNON AVE",41.750922,-87.613894
"1024","3633 W LAWRENCE AVE",41.968241,-87.719621
"1026","401 E 79TH ST",41.751052,-87.614864
"1027","5159 W WASHINGTON BLVD",41.881549,-87.754415
"1029","2800 W ROSEMONT AVE",41.995837,-87.699729
"103","1428 W 79TH ST",41.750559,-87.659563
"1030","5200 W MADISON ST",41.880469,-87.755215
"1031","7801 S EBERHART AVE",41.752775,-87.612354
"1032","458 E 79TH ST",41.751263,-87.613213
"1033","1000 N LARRABEE ST",41.900513,-87.643205
"1034","2400 N SHEFFIELD AVE",41.925498,-87.653723
"1035","1739 S HALSTED ST",41.857995,-87.646531
"1036","959 W WEED ST",41.90967,-87.65224
"1037","802 E 47TH ST",41.809666,-87.606259
"1038","6101 S KARLOV AVE",41.782076,-87.725103
"1039","1358 W JACKSON BLVD",41.877872,-87.661203
"104","6959 S WINCHESTER AVE",41.767555,-87.672197
"1040","101 N PINE AVE",41.88249,-87.763076
"1041","4300 W 79TH ST",41.749576,-87.729615
"1043","4759 N SHERIDAN RD",41.968583,-87.654629
"1044","4902 W DEMING PL",41.927092,-87.749202
"1045","8109 S GREEN ST",41.74666,-87.64494
"1046","8801 S MUSKEGON AVE",41.735314,-87.555335
"1047","11001 S THROOP ST",41.693905,-87.654442
"1048","4952 W DEMING PL",41.927084,-87.750174
"1049","8128 S EMERALD AVE",41.746506,-87.642852
"105","4401 W WEST END AVE",41.883154,-87.73568
"1050","843 W 27TH ST",41.844324,-87.647857
"1051","11531 S CHURCH ST",41.683899,-87.669303
"1052","3763 W LAWRENCE AVE",41.968166,-87.722467
"1053","2732 W DEVON AVE",41.997711,-87.698604
"1055","1253 W 109TH ST",41.69573,-87.653475
"1057","7801 S VERNON AVE",41.752764,-87.613583
"1058","2732 W ROSEMONT AVE",41.995866,-87.698517
"106","6800 S JUSTINE ST",41.770187,-87.662932
"1061","409 W EVERGREEN AVE",41.906378,-87.638721
"1062","3559 W LAWRENCE AVE",41.968221,-87.717511
"1067","8501 S MUSKEGON AVE",41.740784,-87.554945
"1069","4000 W LAWRENCE AVE",41.968322,-87.7282
"107","9559 S AVENUE L",41.71853,-87.530679
"1070","11651 S CHURCH ST",41.68252,-87.670066
"1071","5359 W WASHINGTON BLVD",41.882181,-87.759403
"1073","5120 N HAMLIN AVE",41.973879,-87.723405
"1074","2200 W 23RD PL",41.849501,-87.680909
"1075","3132 W LAWRENCE AVE",41.968533,-87.707353
"1076","2000 W 21ST PL",41.85323,-87.676109
"1079","7300 S WOOD ST",41.761022,-87.668744
"108","9801 S MUSKEGON AVE",41.717081,-87.554974
"1080","7800 S ABERDEEN ST",41.752151,-87.651535
"1081","7200 S WINCHESTER AVE",41.762791,-87.672425
"1082","6600 S SANGAMON ST",41.774022,-87.648444
"1084","11552 S PRAIRIE AVE",41.683717,-87.616937
"1087","142 W 102ND ST",41.70907,-87.627431
"1088","10200 S STATE ST",41.708871,-87.623662
"109","460 N LECLAIRE AVE",41.888706,-87.753095
"1091","11100 S VERNON AVE",41.692664,-87.612257
"1092","10500 S STATE ST",41.703174,-87.623582
"11","4800 W VAN BUREN ST",41.87512,-87.7455
"110","13358 S BRANDON AVE",41.652631,-87.546083
"111","10701 S HOXIE AVE",41.700764,-87.560576
"112","5459 S DAMEN AVE",41.794708,-87.674136
"113","4800 W CHICAGO AVE",41.895054,-87.745879
"114","4035 W ARMITAGE AVE",41.917043,-87.727961
"115","7900 S ESSEX AVE",41.751388,-87.563962
"116","35 W 23RD ST",41.85078,-87.646449
"117","4800 S DREXEL BLVD",41.80755,-87.604487
"118","5245 S DREXEL AVE",41.800156,-87.603753
"119","5958 N CALIFORNIA AVE",41.989608,-87.699547
"12","1823 E 79TH ST",41.75151,-87.579967
"120","6358 N CLARK ST",41.997605,-87.670736
"121","1700 N MAYFIELD AVE",41.911285,-87.772917
"122","5451 W ADAMS ST",41.878257,-87.760514
"123","5001 W MADISON ST",41.880321,-87.750435
"124","1627 N CICERO AVE",41.910567,-87.745854
"125","2125 W MAYPOLE AVE",41.883809,-87.679879
"126","7463 S COLFAX AVE",41.759814,-87.56175
"127","8100 S MANISTEE AVE",41.748013,-87.557837
